Date,open,high,low,close,adj close,volume
2018-01-01,1172.0,1472.58,1170.51,1450.89,1450.89,96338800
2018-02-01,1445.0,1528.7,1265.93,1512.45,1512.45,137784000
2018-03-01,1513.6,1617.54,1365.2,1447.34,1447.34,130400100
2018-04-01,1417.62,1638.1,1352.88,1566.13,1566.13,129919600
2018-05-01,1563.22,1635.0,1546.02,1629.62,1629.62,71553400
2018-06-01,1637.03,1763.1,1635.09,1699.8,1699.8,85941300
2018-07-01,1682.7,1880.05,1678.06,1777.44,1777.44,97521100
2018-08-01,1784.0,2025.57,1776.02,2012.71,2012.71,96546400
2018-09-01,2026.5,2050.5,1865.0,2003.0,2003.0,94445500
2018-10-01,2021.99,2033.19,1476.36,1598.01,1598.01,183220800
2018-11-01,1623.53,1784.0,1420.0,1690.17,1690.17,139290000
2018-12-01,1769.46,1778.34,1307.0,1501.97,1501.97,154812700
