Date,open,high,low,close,adj close,volume
2013-01-02,33.87,34.1,33.81,34.0,28.58,613400
2013-01-03,34.03,34.13,33.88,33.95,28.54,648900
2013-01-04,33.97,34.2,33.88,34.06,28.63,517400
2013-01-07,33.86,34.04,33.65,34.02,28.6,800900
2013-01-08,34.02,34.2,33.87,33.93,28.52,1044200
2013-01-09,34.48,34.69,34.29,34.4,28.91,1044800
2013-01-10,35.01,35.01,34.46,34.64,29.12,1023300
2013-01-11,34.51,34.83,34.28,34.64,29.12,732700
2013-01-14,34.43,35.09,34.43,34.94,29.37,931400
2013-01-15,34.8,35.18,34.76,35.1,29.5,594500
2013-01-16,34.99,35.31,34.96,35.23,29.61,768500
2013-01-17,35.35,35.68,35.22,35.53,29.86,625500
2013-01-18,35.62,36.0,35.6,35.9,30.18,2335300
2013-01-22,35.91,36.03,35.69,35.76,30.06,724700
2013-01-23,35.92,36.14,35.74,35.82,30.11,895200
2013-01-24,35.89,35.97,35.61,35.76,30.06,566900
2013-01-25,35.75,35.83,35.55,35.76,30.06,458500
2013-01-28,35.83,35.9,35.59,35.79,30.08,750000
2013-01-29,35.87,35.94,35.71,35.92,30.19,591600
2013-01-30,35.97,36.04,35.7,35.76,30.06,644100
2013-01-31,35.79,36.23,35.5,35.68,29.99,1259600
2013-02-01,36.29,36.5,35.97,36.34,30.55,1320300
2013-02-04,36.27,36.3,35.75,35.86,30.14,1086900
2013-02-05,36.05,36.32,35.94,36.17,30.4,811900
2013-02-06,36.05,36.5,36.05,36.5,30.68,632900
2013-02-07,36.58,36.59,36.22,36.5,30.68,659800
2013-02-08,36.54,36.72,36.46,36.56,30.73,401600
2013-02-11,36.56,36.75,36.5,36.74,30.88,521000
2013-02-12,36.75,37.07,36.67,37.07,31.16,828600
2013-02-13,37.18,37.34,37.03,37.25,31.31,664100
2013-02-14,36.86,37.03,36.77,36.97,31.29,671700
2013-02-15,36.99,37.24,36.83,37.11,31.41,859800
2013-02-19,37.16,37.59,37.07,37.24,31.52,934700
2013-02-20,37.16,37.32,36.93,36.94,31.27,792800
2013-02-21,36.89,37.2,36.77,37.0,31.32,926600
2013-02-22,37.08,37.39,37.04,37.21,31.5,643300
2013-02-25,37.39,37.39,36.68,36.68,31.05,844400
2013-02-26,36.87,37.29,36.72,37.26,31.54,849700
2013-02-27,37.06,37.65,37.05,37.51,31.75,878800
2013-02-28,37.56,37.7,37.34,37.34,31.61,755500
2013-03-01,37.21,37.58,37.09,37.48,31.72,1036000
2013-03-04,37.35,37.63,37.33,37.54,31.78,826300
2013-03-05,37.69,37.9,37.5,37.82,32.01,771900
2013-03-06,38.0,38.11,37.86,37.99,32.16,760900
