Date,open,high,low,close,adj close,volume
2013-01-02,1570.0,1570.0,1400.0,1450.0,1450.0,3066
2013-01-03,1500.0,1500.0,1500.0,1450.0,1450.0,2880
2013-01-04,1500.0,1500.0,1500.0,1450.0,1450.0,78
2013-01-07,1500.0,1500.0,1500.0,1450.0,1450.0,25
2013-01-08,1500.0,1500.0,1500.0,1475.0,1475.0,101
2013-01-09,1550.0,1550.0,1550.0,1475.0,1475.0,551
2013-01-10,1545.0,1545.0,1545.0,1475.0,1475.0,800
2013-01-11,1450.0,1450.0,1450.0,1450.0,1450.0,200
2013-01-14,1400.0,1400.0,1349.5,1375.0,1375.0,400
2013-01-15,1307.5,1307.5,1307.5,1375.0,1375.0,147
2013-01-16,1307.5,1307.5,1307.5,1375.0,1375.0,250
2013-01-17,1325.0,1325.0,1300.0,1300.0,1300.0,5925
2013-01-18,1385.0,1385.0,1385.0,1375.0,1375.0,17
2013-01-22,1385.0,1385.0,1385.0,1375.0,1375.0,17
2013-01-23,1300.0,1300.0,1300.0,1375.0,1375.0,500
2013-01-24,1385.0,1385.0,1375.0,1375.0,1375.0,1035
2013-01-25,1375.0,1375.0,1300.0,1325.0,1325.0,1950
2013-01-28,1325.0,1347.5,1325.0,1325.0,1325.0,105
2013-01-29,1345.0,1350.0,1250.0,1325.0,1325.0,3024
2013-01-30,1300.0,1300.0,1200.0,1250.0,1250.0,3676
2013-01-31,1225.0,1225.0,1225.0,1225.0,1225.0,5
2013-02-01,1225.0,1150.0,1150.0,1225.0,1225.0,1250
2013-02-04,1155.0,1155.0,1155.0,1225.0,1225.0,375
2013-02-05,1150.0,1150.0,1150.0,1175.0,1175.0,1250
2013-02-06,1150.0,1150.0,1150.0,1175.0,1175.0,5000
2013-02-07,1150.0,1150.5,1150.0,1175.0,1175.0,250
2013-02-08,1175.0,1175.0,1000.0,1100.0,1100.0,291
2013-02-11,1100.0,1100.0,1100.0,1100.0,1100.0,0
2013-02-12,1075.0,1075.0,1000.0,1075.0,1075.0,82
2013-02-13,1075.0,1075.0,1075.0,1075.0,1075.0,0
2013-02-14,1075.0,1075.0,1075.0,1075.0,1075.0,0
2013-02-15,1005.0,1050.0,1000.0,1050.0,1050.0,270
2013-02-19,1050.0,1050.0,1050.0,1050.0,1050.0,29
2013-02-20,1000.0,925.0,850.0,875.0,875.0,1830
2013-02-21,735.0,750.0,735.0,750.0,750.0,450
2013-02-22,691.25,691.25,600.0,650.0,650.0,639
2013-02-25,660.0,687.0,655.0,650.0,650.0,1800
2013-02-26,550.0,550.0,526.0,537.5,537.5,765
2013-02-27,537.5,537.5,537.5,537.5,537.5,0
2013-02-28,546.3,620.0,535.0,575.0,575.0,10899
2013-03-01,580.0,580.0,500.0,512.5,512.5,700
2013-03-04,450.0,450.5,450.0,475.0,475.0,23500
2013-03-05,451.0,455.0,451.0,475.0,475.0,570
2013-03-06,480.0,480.0,480.0,475.0,475.0,90
2013-03-07,480.0,480.0,450.0,475.0,475.0,350
2013-03-08,451.0,470.0,451.0,475.0,475.0,473
2013-03-11,475.0,475.0,475.0,475.0,475.0,0
2013-03-12,470.0,470.0,450.0,425.0,425.0,1760
2013-03-13,400.0,456.0,387.5,462.5,462.5,2250
2013-03-14,490.0,519.5,490.0,512.5,512.5,2464
2013-03-15,495.0,495.0,495.0,500.0,500.0,100
2013-03-18,475.0,475.0,475.0,500.0,500.0,90
2013-03-19,476.0,476.0,430.0,475.0,475.0,550
2013-03-20,480.0,480.0,425.0,462.5,462.5,100
2013-03-21,477.0,477.0,477.0,462.5,462.5,400
2013-03-22,462.5,462.5,462.5,462.5,462.5,0
2013-03-25,470.0,470.0,470.0,462.5,462.5,9
2013-03-26,462.5,462.5,462.5,462.5,462.5,0
2013-03-27,350.0,350.0,350.0,350.0,350.0,0
2013-03-28,322.5,345.0,322.5,337.5,337.5,1200
2013-04-01,337.5,337.5,337.5,337.5,337.5,0
2013-04-02,390.0,420.0,350.0,412.5,412.5,1577
2013-04-03,376.0,376.0,375.0,400.0,400.0,314
2013-04-04,400.0,400.0,400.0,400.0,400.0,0
2013-04-05,412.5,412.5,412.5,412.5,412.5,0
2013-04-08,450.0,450.0,450.0,450.0,450.0,9
2013-04-09,450.0,450.0,450.0,412.5,412.5,5
2013-04-10,412.5,412.5,412.5,412.5,412.5,0
2013-04-11,412.5,412.5,412.5,412.5,412.5,0
2013-04-12,412.5,412.5,412.5,412.5,412.5,0
2013-04-15,412.5,412.5,412.5,412.5,412.5,0
2013-04-16,375.0,375.0,351.0,400.0,400.0,400
2013-04-17,350.0,350.0,350.0,350.0,350.0,680
2013-04-18,350.0,350.0,350.0,350.0,350.0,0
2013-04-19,350.0,350.0,350.0,350.0,350.0,0
2013-04-22,350.0,350.0,350.0,350.0,350.0,0
2013-04-23,300.0,300.0,300.0,300.0,300.0,300
