Date,open,high,low,close,adj close,volume
2013-01-02,27.44,28.18,27.42,28.0,28.0,69846400
2013-01-03,27.88,28.47,27.59,27.77,27.77,63140600
2013-01-04,28.01,28.93,27.83,28.76,28.76,72715400
2013-01-07,28.69,29.79,28.65,29.42,29.42,83781800
2013-01-08,29.51,29.6,28.86,29.06,29.06,45871300
2013-01-09,29.67,30.6,29.49,30.59,30.59,104787700
2013-01-10,30.6,31.45,30.28,31.3,31.3,95316400
2013-01-11,31.28,31.96,31.1,31.72,31.72,89598000
2013-01-14,32.08,32.21,30.62,30.95,30.95,98892800
2013-01-15,30.64,31.71,29.88,30.1,30.1,173242600
2013-01-16,30.21,30.35,29.53,29.85,29.85,75332700
2013-01-17,30.08,30.42,30.03,30.14,30.14,40256700
2013-01-18,30.31,30.44,29.27,29.66,29.66,49631500
2013-01-22,29.75,30.89,29.74,30.73,30.73,55243300
2013-01-23,31.1,31.5,30.8,30.82,30.82,48899800
2013-01-24,31.27,31.49,30.81,31.08,31.08,43845100
2013-01-25,31.41,31.93,31.13,31.54,31.54,54363600
2013-01-28,31.88,32.51,31.81,32.47,32.47,59682500
2013-01-29,32.0,32.07,30.71,30.79,30.79,72976500
2013-01-30,30.98,31.49,30.88,31.24,31.24,87682100
2013-01-31,29.15,31.47,28.74,30.98,30.98,190744900
2013-02-01,31.01,31.02,29.63,29.73,29.73,85856700
2013-02-04,29.06,29.2,28.01,28.11,28.11,92362200
2013-02-05,28.26,28.96,28.04,28.64,28.64,47948200
2013-02-06,28.74,29.29,28.66,29.05,29.05,38375900
2013-02-07,29.11,29.15,28.27,28.65,28.65,34540100
2013-02-08,28.89,29.17,28.51,28.55,28.55,37708800
2013-02-11,28.61,28.68,28.04,28.26,28.26,37361800
2013-02-12,27.67,28.16,27.1,27.37,27.37,93498700
2013-02-13,27.36,28.32,27.31,27.91,27.91,50164000
2013-02-14,28.02,28.63,28.01,28.5,28.5,35615800
2013-02-15,28.52,28.75,28.09,28.32,28.32,33109300
2013-02-19,28.23,29.08,28.12,28.93,28.93,49396400
2013-02-20,28.92,29.05,28.33,28.46,28.46,42098200
2013-02-21,28.28,28.55,27.15,27.28,27.28,49642300
2013-02-22,27.62,27.63,26.82,27.13,27.13,36350200
2013-02-25,27.16,27.64,27.15,27.27,27.27,34652000
2013-02-26,27.36,27.46,26.7,27.39,27.39,31611700
2013-02-27,27.34,27.34,26.63,26.87,26.87,44319700
2013-02-28,26.84,27.3,26.34,27.25,27.25,83027800
2013-03-01,27.05,28.12,26.81,27.78,27.78,54064800
2013-03-04,27.76,28.06,27.44,27.72,27.72,32400700
2013-03-05,27.88,28.18,27.21,27.52,27.52,40622200
2013-03-06,28.1,28.13,27.35,27.45,27.45,33532600
2013-03-07,27.57,28.68,27.47,28.58,28.58,74540200
2013-03-08,28.43,28.47,27.73,27.96,27.96,44198900
2013-03-11,28.01,28.64,27.83,28.14,28.14,35642100
2013-03-12,28.1,28.32,27.6,27.83,27.83,27569600
2013-03-13,27.62,27.65,26.92,27.08,27.08,39619500
2013-03-14,27.1,27.43,26.83,27.04,27.04,27646400
2013-03-15,27.03,27.06,26.56,26.65,26.65,31597400
2013-03-18,26.37,26.79,25.78,26.49,26.49,26653700
2013-03-19,26.53,26.9,26.21,26.55,26.55,25254200
2013-03-20,26.68,26.69,25.78,25.86,25.86,44006500
2013-03-21,25.66,26.11,25.56,25.74,25.74,24336100
2013-03-22,25.8,26.01,25.63,25.73,25.73,18456300
2013-03-25,25.75,25.8,25.08,25.13,25.13,39199000
2013-03-26,25.08,25.48,25.03,25.21,25.21,26957200
2013-03-27,25.0,26.28,24.72,26.09,26.09,52297400
2013-03-28,26.09,26.17,25.52,25.58,25.58,28585700
2013-04-01,25.63,25.89,25.28,25.53,25.53,22249300
2013-04-02,25.77,26.12,25.3,25.42,25.42,35153300
2013-04-03,25.83,26.39,25.7,26.25,26.25,48195200
2013-04-04,26.62,27.23,26.11,27.07,27.07,82016800
2013-04-05,26.86,27.8,26.61,27.39,27.39,64566600
2013-04-08,27.19,27.2,26.63,26.85,26.85,27256000
2013-04-09,26.58,26.89,26.42,26.59,26.59,21311100
2013-04-10,27.01,27.84,26.9,27.57,27.57,45949400
2013-04-11,27.48,28.1,27.25,28.02,28.02,33368500
2013-04-12,28.0,28.0,27.24,27.4,27.4,28697400
2013-04-15,27.16,27.48,26.36,26.52,26.52,30275400
2013-04-16,26.81,27.11,26.4,26.92,26.92,27365900
2013-04-17,26.65,27.2,26.39,26.63,26.63,26440600
2013-04-18,26.82,26.82,25.15,25.69,25.69,39059000
2013-04-19,25.62,25.96,25.33,25.73,25.73,20380900
2013-04-22,25.81,26.36,25.7,25.97,25.97,25687600
2013-04-23,26.22,26.33,25.77,25.98,25.98,25191500
2013-04-24,25.93,26.4,25.8,26.11,26.11,19729900
2013-04-25,26.07,26.4,26.0,26.14,26.14,17150000
2013-04-26,26.6,27.62,26.6,26.85,26.85,33018000
2013-04-29,27.16,27.41,26.86,26.98,26.98,29201100
2013-04-30,27.13,27.85,27.01,27.77,27.77,36245700
2013-05-01,27.85,27.92,27.31,27.43,27.43,64567600
2013-05-02,28.01,29.02,27.98,28.97,28.97,104257000
2013-05-03,29.04,29.07,28.15,28.31,28.31,58506400
2013-05-06,28.33,28.46,27.48,27.57,27.57,43939400
2013-05-07,27.55,27.85,26.85,26.89,26.89,41259100
2013-05-08,26.88,27.3,26.65,27.12,27.12,34654900
2013-05-09,27.08,27.55,26.85,27.04,27.04,33457200
2013-05-10,27.14,27.3,26.57,26.68,26.68,30847100
2013-05-13,26.6,27.33,26.53,26.82,26.82,29068800
2013-05-14,26.89,27.28,26.82,27.07,27.07,24930300
2013-05-15,26.92,26.99,26.4,26.6,26.6,30299800
2013-05-16,26.48,26.55,25.9,26.13,26.13,35499100
2013-05-17,26.4,26.6,26.2,26.25,26.25,29462700
2013-05-20,26.18,26.19,25.69,25.76,25.76,42402900
2013-05-21,25.87,26.08,25.59,25.66,25.66,26261300
2013-05-22,25.65,25.85,24.92,25.16,25.16,45314500
2013-05-23,24.8,25.53,24.77,25.06,25.06,37663100
2013-05-24,24.97,24.97,24.08,24.31,24.31,58727900
2013-05-28,24.54,24.54,23.92,24.1,24.1,50079700
2013-05-29,23.79,23.81,23.26,23.32,23.32,64237800
2013-05-30,24.13,24.78,23.93,24.55,24.55,60733200
2013-05-31,24.63,24.95,24.27,24.35,24.35,35925000
2013-06-03,24.27,24.32,23.71,23.85,23.85,35733800
2013-06-04,23.89,23.93,23.32,23.52,23.52,34760800
2013-06-05,23.35,23.71,22.79,22.9,22.9,53819700
2013-06-06,22.99,23.09,22.67,22.97,22.97,31260700
2013-06-07,23.03,23.4,22.86,23.29,23.29,38699200
2013-06-10,24.06,24.6,23.99,24.33,24.33,58393000
2013-06-11,24.03,24.35,24.0,24.03,24.03,29885900
2013-06-12,24.16,24.26,23.58,23.77,23.77,26445800
2013-06-13,23.72,23.83,23.27,23.73,23.73,31189300
2013-06-14,23.56,23.89,23.26,23.63,23.63,30677100
2013-06-17,23.91,24.25,23.75,24.02,24.02,33664500
2013-06-18,24.09,24.69,24.08,24.21,24.21,36709100
2013-06-19,24.2,25.19,24.1,24.31,24.31,31790600
2013-06-20,24.28,24.75,23.65,23.9,23.9,42765600
2013-06-21,24.59,24.7,24.05,24.53,24.53,45833900
2013-06-24,23.95,24.11,23.38,23.94,23.94,40626000
2013-06-25,24.14,24.43,24.04,24.25,24.25,24713200
2013-06-26,24.51,24.65,23.99,24.16,24.16,29890300
2013-06-27,24.24,24.84,24.21,24.66,24.66,34694100
2013-06-28,24.68,24.98,24.42,24.88,24.88,96778900
2013-07-01,24.97,25.06,24.62,24.81,24.81,20582200
2013-07-02,24.7,24.77,24.3,24.41,24.41,18394100
2013-07-03,24.22,24.71,24.15,24.52,24.52,10404400
2013-07-05,24.65,24.66,24.2,24.37,24.37,20229500
2013-07-08,24.47,25.04,24.42,24.71,24.71,27064600
2013-07-09,25.07,25.49,25.03,25.48,25.48,30387900
