Date,open,high,low,close,adj close,volume
2013-01-02,20.68,20.71,20.38,20.52,16.65,47933100
2013-01-03,20.65,20.66,20.24,20.29,16.46,50449500
2013-01-04,20.39,20.44,20.31,20.38,16.54,30994700
2013-01-07,20.35,20.4,20.15,20.32,16.48,34056600
2013-01-08,20.29,20.31,19.88,20.1,16.3,41647300
2013-01-09,20.23,20.26,20.12,20.14,16.34,29682100
2013-01-10,20.23,20.41,20.15,20.36,16.51,34682100
2013-01-11,20.4,20.42,20.21,20.32,16.48,43513300
2013-01-14,20.37,20.42,20.26,20.31,16.47,32984500
2013-01-15,20.23,20.39,20.2,20.38,16.54,27613000
2013-01-16,20.34,20.38,20.25,20.31,16.47,40489400
2013-01-17,20.4,20.71,20.31,20.48,16.61,66405800
2013-01-18,21.1,21.34,20.76,21.19,17.19,117602600
2013-01-22,21.33,21.35,21.06,21.16,17.17,57372400
2013-01-23,21.13,21.18,20.91,21.1,17.11,49117600
2013-01-24,21.12,21.34,21.11,21.2,17.2,48870700
2013-01-25,21.42,21.45,21.26,21.43,17.39,43596600
2013-01-28,21.58,21.67,21.4,21.63,17.55,51540700
2013-01-29,21.62,21.71,21.54,21.63,17.55,35513900
2013-01-30,21.65,21.68,21.38,21.38,17.34,37648400
2013-01-31,21.36,21.54,21.33,21.42,17.38,35804800
2013-02-01,21.57,21.77,21.46,21.75,17.64,45593900
2013-02-04,21.55,21.62,21.42,21.45,17.4,37270100
2013-02-05,21.62,21.75,21.59,21.67,17.58,32154400
2013-02-06,21.61,21.63,21.45,21.58,17.5,44705200
2013-02-07,21.63,21.64,21.41,21.62,17.54,39858900
2013-02-08,21.63,21.69,21.59,21.63,17.55,25401600
2013-02-11,21.62,21.64,21.49,21.59,17.51,20528200
2013-02-12,21.62,21.78,21.62,21.71,17.61,35669400
2013-02-13,22.22,22.58,22.15,22.49,18.25,88324000
2013-02-14,22.36,22.59,22.22,22.51,18.26,56156400
2013-02-15,22.58,22.64,22.34,22.39,18.17,40854300
2013-02-19,22.52,22.84,22.51,22.84,18.53,42867800
2013-02-20,22.8,22.84,22.45,22.51,18.26,39631700
2013-02-21,22.29,22.45,22.23,22.37,18.29,49723600
2013-02-22,22.45,22.55,22.34,22.49,18.39,28949800
2013-02-25,22.6,22.62,21.93,21.93,17.94,53684600
2013-02-26,22.09,22.26,22.03,22.16,18.13,42969000
2013-02-27,22.13,22.5,22.12,22.47,18.38,30863500
2013-02-28,22.47,22.56,22.31,22.33,18.26,41303200
2013-03-01,22.13,22.44,22.12,22.3,18.24,42876000
2013-03-04,22.26,22.38,22.14,22.38,18.3,26476100
2013-03-05,22.56,22.8,22.54,22.68,18.55,37157100
2013-03-06,22.92,22.92,22.76,22.76,18.61,32800700
2013-03-07,22.79,22.91,22.76,22.77,18.62,23873900
2013-03-08,22.94,22.98,22.77,22.86,18.69,30110200
2013-03-11,22.78,22.84,22.55,22.71,18.58,36345100
2013-03-12,22.68,22.69,22.43,22.51,18.41,38056700
2013-03-13,22.54,22.62,22.5,22.59,18.47,25118500
2013-03-14,22.64,22.85,22.61,22.78,18.63,36015000
2013-03-15,22.54,22.81,22.46,22.54,18.43,61211500
2013-03-18,22.28,22.45,22.24,22.36,18.28,35048000
2013-03-19,22.4,22.46,22.28,22.42,18.34,37596200
2013-03-20,22.82,22.88,22.43,22.56,18.45,40824200
2013-03-21,22.52,22.69,22.39,22.39,18.32,40085700
2013-03-22,22.42,22.5,22.38,22.47,18.38,31830300
2013-03-25,22.55,22.58,22.16,22.35,18.28,43351800
2013-03-26,22.38,22.4,22.12,22.23,18.18,33647600
2013-03-27,22.13,22.25,21.97,22.21,18.17,28592200
2013-03-28,22.25,22.31,22.11,22.23,18.18,32397000
2013-04-01,22.14,22.21,22.09,22.19,18.15,28547700
2013-04-02,22.28,22.47,22.21,22.44,18.36,30347300
2013-04-03,22.48,22.5,22.04,22.12,18.09,54673100
2013-04-04,22.12,22.24,22.08,22.19,18.15,31691000
2013-04-05,21.92,22.06,21.88,22.05,18.03,32658300
2013-04-08,22.16,22.23,21.95,22.23,18.18,31713300
2013-04-09,22.36,22.36,22.02,22.17,18.14,32934900
2013-04-10,22.21,22.74,22.17,22.67,18.54,41363200
2013-04-11,22.64,22.81,22.53,22.68,18.55,28167800
2013-04-12,22.59,22.68,22.43,22.56,18.45,28323700
2013-04-15,22.38,22.4,21.93,21.93,17.94,48312000
2013-04-16,22.18,22.21,22.02,22.21,18.17,37457400
2013-04-17,22.08,22.14,21.78,21.88,17.9,44379800
2013-04-18,21.88,21.97,21.7,21.8,17.83,42817700
2013-04-19,21.1,21.18,20.78,20.91,17.1,113191400
2013-04-22,20.84,20.85,20.3,20.53,16.79,91342100
2013-04-23,20.72,20.86,20.54,20.67,16.91,68109200
2013-04-24,20.86,21.18,20.82,21.12,17.27,53567000
2013-04-25,21.36,21.38,21.07,21.11,17.26,43121400
2013-04-26,21.13,21.54,21.12,21.36,17.47,48893000
2013-04-29,21.45,21.46,21.15,21.41,17.51,37993100
2013-04-30,21.43,21.52,21.36,21.43,17.53,35417000
2013-05-01,21.25,21.49,21.25,21.3,17.42,40769700
2013-05-02,21.39,21.46,21.3,21.46,17.55,28757600
2013-05-03,21.7,21.97,21.68,21.7,17.75,47344200
2013-05-06,21.69,21.77,21.46,21.71,17.76,29706500
2013-05-07,21.82,21.91,21.75,21.81,17.84,29340200
2013-05-08,21.81,22.13,21.75,22.12,18.1,41576400
2013-05-09,22.11,22.21,21.82,21.9,17.91,31173300
2013-05-10,21.89,22.03,21.72,22.02,18.01,36522000
2013-05-13,21.98,22.0,21.75,21.97,17.97,31495200
2013-05-14,21.97,22.18,21.93,22.12,18.1,41176000
2013-05-15,22.15,22.36,22.03,22.35,18.28,41759100
2013-05-16,22.21,22.45,22.21,22.38,18.3,34344200
2013-05-17,22.38,22.58,22.31,22.56,18.45,42679200
2013-05-20,22.56,22.67,22.53,22.66,18.54,34200200
2013-05-21,22.68,22.87,22.68,22.75,18.61,35167600
2013-05-22,22.87,23.2,22.84,22.94,18.76,71255000
2013-05-23,22.62,22.84,22.55,22.75,18.61,46158900
2013-05-24,22.6,22.76,22.59,22.62,18.5,42655800
2013-05-28,22.86,22.92,22.67,22.69,18.56,49215900
2013-05-29,22.52,22.79,22.5,22.73,18.59,40806000
2013-05-30,22.67,22.85,22.6,22.69,18.56,30521000
2013-05-31,22.68,22.88,22.41,22.42,18.34,51217500
2013-06-03,22.47,22.87,22.42,22.73,18.59,47027100
2013-06-04,22.68,22.85,22.51,22.75,18.61,40249400
2013-06-05,22.64,22.67,22.32,22.42,18.34,46546400
2013-06-06,22.36,22.49,22.21,22.48,18.39,44384600
2013-06-07,22.63,23.03,22.57,22.94,18.76,51002800
2013-06-10,22.96,23.0,22.73,22.87,18.7,43291600
2013-06-11,22.59,22.78,22.58,22.67,18.54,37630300
2013-06-12,22.79,22.82,22.52,22.6,18.48,35195700
2013-06-13,22.55,22.88,22.44,22.77,18.62,36327700
2013-06-14,22.77,22.84,22.56,22.62,18.5,28959800
2013-06-17,22.84,22.93,22.74,22.86,18.69,40849400
2013-06-18,22.91,23.51,22.86,23.39,19.13,75677600
2013-06-19,23.27,23.41,23.06,23.06,18.86,47925500
2013-06-20,22.72,22.78,22.31,22.36,18.43,65242500
2013-06-21,22.67,22.73,22.32,22.46,18.52,67626200
2013-06-24,22.23,22.26,21.88,22.05,18.18,50711200
2013-06-25,22.28,22.36,22.06,22.22,18.32,38031900
2013-06-26,22.53,22.54,22.13,22.36,18.43,33833000
2013-06-27,22.51,22.58,22.37,22.42,18.49,32102600
2013-06-28,22.42,22.54,22.27,22.3,18.38,47760100
2013-07-01,22.32,22.73,22.3,22.44,18.5,37216200
2013-07-02,22.38,22.44,22.0,22.02,18.15,49474000
2013-07-03,21.95,22.1,21.88,22.03,18.16,22306400
2013-07-05,22.28,22.35,22.07,22.35,18.42,23596500
2013-07-08,22.46,22.62,22.38,22.42,18.49,36900300
2013-07-09,22.62,22.88,22.61,22.71,18.72,32803100
2013-07-10,22.81,22.82,22.46,22.63,18.66,29595400
2013-07-11,22.99,23.04,22.72,23.02,18.98,33923100
2013-07-12,23.07,23.08,22.68,22.85,18.83,34588000
2013-07-15,22.82,22.83,22.65,22.72,18.73,37287600
2013-07-16,22.75,22.76,22.44,22.53,18.57,39720100
2013-07-17,22.63,22.7,22.53,22.63,18.66,27932800
2013-07-18,22.69,23.02,22.65,22.72,18.73,43095700
2013-07-19,23.28,23.99,23.17,23.77,19.6,107857300
2013-07-22,23.82,23.96,23.78,23.9,19.71,43223200
2013-07-23,23.91,23.92,23.68,23.76,19.59,33855100
2013-07-24,23.84,23.88,23.62,23.67,19.52,28584400
2013-07-25,23.66,23.74,23.58,23.74,19.57,31149800
2013-07-26,23.7,23.71,23.56,23.7,19.54,32359800
2013-07-29,23.59,23.65,23.52,23.55,19.41,26612100
2013-07-30,23.62,23.69,23.46,23.54,19.41,32449600
2013-07-31,23.62,23.74,23.42,23.43,19.32,40513100
2013-08-01,23.65,23.91,23.58,23.67,19.52,33215200
2013-08-02,23.58,23.75,23.46,23.75,19.58,26750300
2013-08-05,23.62,23.65,23.55,23.58,19.44,18690500
2013-08-06,23.55,23.56,23.32,23.38,19.27,23828000
