Date,open,high,low,close,adj close,volume
2013-01-02,357.39,361.15,355.96,359.29,359.29,5115500
2013-01-03,360.12,363.6,358.03,359.5,359.5,4666500
2013-01-04,362.31,368.34,361.49,366.6,366.6,5562800
2013-01-07,365.35,367.3,362.93,365.0,365.0,3332900
2013-01-08,365.39,365.77,359.87,364.28,364.28,3373900
2013-01-09,363.77,366.79,361.95,366.68,366.68,4075700
2013-01-10,369.01,370.09,364.38,368.34,368.34,3695100
2013-01-11,368.6,368.82,365.77,367.6,367.6,2587000
2013-01-14,366.12,368.7,358.84,359.29,359.29,5765000
2013-01-15,357.34,365.13,353.75,360.12,360.12,7906300
2013-01-16,358.87,359.83,354.53,355.28,355.28,4073100
2013-01-17,356.54,357.49,353.21,353.36,353.36,4451700
2013-01-18,352.88,354.08,348.4,349.98,349.98,6495500
2013-01-22,350.05,350.39,345.51,349.16,349.16,7634000
2013-01-23,365.62,372.08,365.52,368.35,368.35,11895000
2013-01-24,368.23,375.97,367.86,374.67,374.67,6809200
2013-01-25,372.96,376.79,372.7,374.4,374.4,4480700
2013-01-28,373.45,375.36,371.53,372.94,372.94,3275300
2013-01-29,370.96,376.03,370.86,374.4,374.4,3516800
2013-01-30,374.43,378.02,374.02,374.48,374.48,3488500
2013-01-31,372.83,376.36,372.7,375.4,375.4,3289500
2013-02-01,376.65,385.79,376.6,385.29,385.29,7540700
2013-02-04,381.36,382.75,376.69,377.06,377.06,6120500
2013-02-05,378.11,383.06,377.28,380.4,380.4,3765600
2013-02-06,377.08,383.98,376.8,382.6,382.6,4183200
2013-02-07,382.36,386.89,380.28,384.47,384.47,5717300
2013-02-08,387.54,390.79,387.26,390.15,390.15,6079300
2013-02-11,386.68,388.97,384.38,388.68,388.68,4363700
2013-02-12,388.35,391.4,387.17,387.83,387.83,3742100
2013-02-13,387.54,390.14,387.46,388.9,388.9,2411800
2013-02-14,387.35,391.82,386.37,391.36,391.36,3493100
2013-02-15,391.16,394.07,390.99,393.88,393.88,5495000
2013-02-19,395.42,400.89,395.07,400.82,400.82,5901700
2013-02-20,400.05,401.87,393.34,393.67,393.67,5564200
2013-02-21,396.42,400.12,393.05,395.19,395.19,7058300
2013-02-22,397.05,398.04,394.34,397.27,397.27,4134400
2013-02-25,398.56,401.59,392.69,392.83,392.83,4637700
2013-02-26,394.93,395.4,389.67,392.51,392.51,4433600
2013-02-27,394.83,399.77,393.0,397.31,397.31,4078500
2013-02-28,397.96,400.89,397.93,398.01,398.01,4561000
2013-03-01,396.32,400.96,395.5,400.49,400.49,4379000
2013-03-04,400.05,408.76,399.9,408.1,408.1,5587200
2013-03-05,411.79,417.36,411.77,416.59,416.59,8140700
2013-03-06,417.8,419.27,411.73,413.0,413.0,5783200
2013-03-07,414.34,415.61,412.11,413.61,413.61,4132000
2013-03-08,414.55,414.76,409.86,413.07,413.07,5861600
2013-03-11,413.16,417.14,413.06,414.71,414.71,3210000
2013-03-12,412.67,413.26,409.17,411.13,411.13,4042700
2013-03-13,411.28,412.66,408.5,409.99,409.99,3303800
2013-03-14,410.82,410.82,406.05,408.12,408.12,3323800
2013-03-15,406.61,407.5,404.04,404.52,404.52,6239600
2013-03-18,399.9,403.75,398.15,401.29,401.29,3700400
2013-03-19,403.0,406.98,400.62,403.04,403.04,4223600
2013-03-20,405.78,406.11,403.1,404.72,404.72,2946600
2013-03-21,403.02,405.82,402.31,403.01,403.01,2974300
2013-03-22,404.74,404.99,402.2,402.54,402.54,2995600
2013-03-25,403.58,406.97,400.8,402.2,402.2,3446200
2013-03-26,404.12,404.37,401.29,403.59,403.59,2399200
2013-03-27,400.73,400.89,398.08,398.74,398.74,4354400
2013-03-28,399.4,400.08,394.09,394.53,394.53,4605200
2013-04-01,394.94,398.53,394.06,398.01,398.01,3638100
2013-04-02,399.67,404.78,399.4,403.89,403.89,4109500
2013-04-03,404.1,404.47,397.75,400.5,400.5,3499500
2013-04-04,399.53,400.27,393.09,394.97,394.97,4926900
2013-04-05,390.49,390.95,385.69,388.99,388.99,6912300
2013-04-08,386.86,387.26,381.72,384.92,384.92,5700900
2013-04-09,385.24,389.34,384.06,386.31,386.31,4342600
2013-04-10,388.93,393.61,385.49,392.54,392.54,3982800
2013-04-11,393.88,393.99,389.5,392.64,392.64,4083700
2013-04-12,393.44,393.49,388.94,392.47,392.47,3294500
2013-04-15,390.44,395.92,386.0,388.44,388.44,4938000
2013-04-16,390.75,395.43,389.43,394.12,394.12,3506500
2013-04-17,390.83,392.86,386.54,388.75,388.75,4100300
2013-04-18,390.14,390.36,378.17,380.48,380.48,6688100
2013-04-19,382.09,399.12,380.65,397.35,397.35,11681800
2013-04-22,397.71,399.38,385.0,397.47,397.47,5804200
2013-04-23,397.91,405.12,397.59,401.34,401.34,4614200
2013-04-24,401.44,406.36,401.39,404.1,404.1,3681900
2013-04-25,405.49,405.6,401.21,401.94,401.94,4010200
2013-04-26,401.19,401.26,395.72,398.12,398.12,5007600
2013-04-29,399.03,408.69,398.91,406.88,406.88,4631500
2013-04-30,406.85,411.15,406.2,409.62,409.62,4643300
2013-05-01,408.97,409.7,405.54,407.56,407.56,2928800
2013-05-02,407.4,414.58,406.88,412.12,412.12,4062700
2013-05-03,415.78,420.66,415.3,420.13,420.13,5057800
2013-05-06,421.39,428.14,421.39,427.99,427.99,4310300
2013-05-07,428.72,429.14,422.59,425.85,425.85,3943400
2013-05-08,425.73,434.12,423.7,433.99,433.99,4968600
2013-05-09,432.61,436.99,431.31,432.92,432.92,4429700
2013-05-10,434.83,437.42,433.26,437.27,437.27,3820000
2013-05-13,436.61,438.38,433.87,435.93,435.93,2915700
2013-05-14,435.91,441.47,435.74,440.68,440.68,3179000
2013-05-15,444.86,455.23,444.12,454.99,454.99,8023600
2013-05-16,456.53,457.02,448.09,449.01,449.01,6460900
2013-05-17,452.07,453.79,447.35,451.65,451.65,5620200
2013-05-20,449.58,457.33,449.58,451.33,451.33,4574800
2013-05-21,451.08,452.88,445.9,450.55,450.55,3991600
2013-05-22,448.36,451.72,440.57,441.84,441.84,5154400
2013-05-23,435.67,442.1,434.18,438.54,438.54,4579700
2013-05-24,434.8,436.57,432.69,433.84,433.84,4623400
2013-05-28,438.9,443.19,437.36,437.79,437.79,4544300
2013-05-29,435.03,436.16,429.35,431.35,431.35,4052900
2013-05-30,432.15,436.61,430.41,432.57,432.57,4268900
2013-05-31,431.26,435.67,430.96,432.8,432.8,3964400
2013-06-03,433.68,434.16,424.75,431.01,431.01,4983500
2013-06-04,431.12,432.48,424.28,426.77,426.77,3761400
2013-06-05,428.47,431.92,425.8,427.07,427.07,4240900
2013-06-06,429.36,430.37,420.87,429.53,429.53,5191600
2013-06-07,432.4,437.16,429.86,437.02,437.02,5383900
2013-06-10,438.2,442.62,437.2,442.23,442.23,4705900
2013-06-11,439.13,440.63,436.92,437.06,437.06,3538000
2013-06-12,439.87,440.14,432.02,433.17,433.17,4438300
2013-06-13,431.68,436.99,429.95,435.67,435.67,4166600
2013-06-14,437.21,439.49,434.24,434.69,434.69,4519100
2013-06-17,436.77,441.84,436.3,440.26,440.26,4320300
2013-06-18,441.45,447.59,441.3,447.4,447.4,4361900
2013-06-19,447.77,452.48,445.85,447.43,447.43,5869700
2013-06-20,444.11,447.59,438.8,439.51,439.51,6787800
2013-06-21,441.3,442.06,433.71,437.62,437.62,8016200
2013-06-24,433.12,435.33,428.84,432.08,432.08,6072900
2013-06-25,435.8,437.0,429.46,430.3,430.3,5139600
2013-06-26,434.05,436.16,432.47,434.0,434.0,3686500
2013-06-27,436.56,439.49,435.49,435.7,435.7,3877900
2013-06-28,434.62,438.07,434.27,437.34,437.34,4729000
2013-07-01,440.36,443.16,439.64,441.07,441.07,3471900
2013-07-02,442.22,442.62,435.8,438.3,438.3,3807400
2013-07-03,437.11,441.71,436.41,440.35,440.35,2107500
2013-07-05,442.13,444.81,440.8,443.86,443.86,3425900
2013-07-08,446.7,450.21,445.64,449.62,449.62,3964600
2013-07-09,452.56,453.53,446.09,449.7,449.7,3984400
2013-07-10,448.81,452.63,447.28,450.07,450.07,3438900
2013-07-11,453.55,457.43,451.32,457.15,457.15,5201900
2013-07-12,457.03,458.52,454.66,458.52,458.52,5169800
2013-07-15,459.16,461.0,455.22,459.36,459.36,3946400
2013-07-16,460.57,460.99,454.0,456.83,456.83,3991600
2013-07-17,457.52,460.44,455.19,456.31,456.31,3031700
2013-07-18,456.53,457.03,448.68,452.4,452.4,7316100
2013-07-19,440.44,448.56,434.98,445.4,445.4,14814300
2013-07-22,448.09,453.39,445.6,452.41,452.41,5844100
2013-07-23,452.41,453.55,446.88,448.98,448.98,4117900
2013-07-24,450.7,452.21,447.44,448.53,448.53,4184000
2013-07-25,444.05,445.53,440.18,440.98,440.98,6041100
2013-07-26,440.63,442.12,438.15,439.81,439.81,3578400
2013-07-29,439.59,444.52,437.6,438.28,438.28,3808200
2013-07-30,439.87,444.91,437.59,442.58,442.58,3534000
2013-07-31,443.61,445.36,440.23,441.01,441.01,4375200
2013-08-01,444.61,449.35,444.61,449.19,449.19,4304500
2013-08-02,448.8,450.57,447.5,450.36,450.36,3450000
2013-08-05,449.77,449.83,446.69,449.58,449.58,2636300
2013-08-06,449.42,451.92,444.97,445.39,445.39,3031700
2013-08-07,444.63,446.32,441.67,442.45,442.45,2776200
2013-08-08,444.85,445.03,439.78,443.45,443.45,2995200
2013-08-09,442.4,444.87,442.12,442.33,442.33,2664500
2013-08-12,440.58,440.63,437.98,439.89,439.89,2771800
2013-08-13,440.55,441.38,435.27,437.78,437.78,2858000
2013-08-14,436.35,437.27,430.78,432.09,432.09,4191400
2013-08-15,429.43,429.67,426.23,427.05,427.05,3762600
2013-08-16,427.86,428.43,425.5,425.69,425.69,3371900
2013-08-19,426.08,433.18,425.95,430.03,430.03,3645300
2013-08-20,431.37,433.24,428.98,429.91,429.91,2481900
2013-08-21,432.51,435.62,430.45,431.86,431.86,3537400
2013-08-22,433.53,434.55,432.31,434.03,434.03,1751000
2013-08-23,436.08,436.16,432.06,432.29,432.29,2168100
2013-08-26,432.19,434.62,430.23,430.4,430.4,2118600
2013-08-27,427.03,429.07,421.21,422.33,422.33,3490700
2013-08-28,422.38,424.94,421.15,421.53,421.53,2677000
2013-08-29,421.79,427.41,421.55,424.95,424.95,2976100
2013-08-30,425.12,426.25,420.05,420.71,420.71,3747400
2013-09-03,424.42,430.3,424.22,427.41,427.41,4121700
2013-09-04,427.4,433.93,424.82,433.0,433.0,4108800
2013-09-05,433.93,437.1,432.99,436.94,436.94,2599200
2013-09-06,438.37,439.03,434.05,436.95,436.95,3143400
2013-09-09,439.01,442.0,438.36,441.16,441.16,2485100
2013-09-10,442.13,443.12,439.14,441.46,441.46,2591800
2013-09-11,441.4,445.59,440.18,445.2,445.2,3242100
2013-09-12,445.8,446.05,442.13,443.64,443.64,2205100
2013-09-13,444.36,444.95,439.56,441.66,441.66,2667900
2013-09-16,445.2,445.6,439.58,441.01,441.01,2690300
2013-09-17,440.84,441.32,437.65,440.19,440.19,2535100
2013-09-18,440.31,449.06,438.68,448.74,448.74,3894500
2013-09-19,450.07,450.07,444.81,446.29,446.29,3216400
2013-09-20,446.29,449.14,444.92,448.64,448.64,8746900
2013-09-23,445.18,447.88,439.74,440.39,440.39,3577800
2013-09-24,440.39,442.17,437.85,440.55,440.55,2992800
2013-09-25,440.41,440.41,434.97,435.78,435.78,3319300
2013-09-26,436.31,438.52,434.67,436.25,436.25,2536100
2013-09-27,434.58,435.92,432.84,435.36,435.36,2533900
2013-09-30,431.73,437.57,431.35,435.12,435.12,3467100
2013-10-01,437.28,440.97,437.18,440.63,440.63,3391400
2013-10-02,438.51,441.81,436.07,441.13,441.13,3009900
2013-10-03,441.13,444.16,433.23,435.21,435.21,4261500
2013-10-04,434.67,435.92,432.19,433.36,433.36,2733600
2013-10-07,430.92,434.17,429.26,430.07,430.07,2603900
2013-10-08,429.86,430.19,423.06,424.08,424.08,3912500
2013-10-09,425.37,428.54,418.77,425.16,425.16,5337000
2013-10-10,429.13,431.61,427.33,431.31,431.31,4539800
2013-10-11,430.22,433.92,429.85,433.18,433.18,2836100
2013-10-14,430.53,435.29,429.9,435.22,435.22,2503300
2013-10-15,435.05,439.95,434.18,438.16,438.16,3204400
2013-10-16,440.07,446.26,439.15,446.11,446.11,4041300
2013-10-17,443.61,445.55,440.0,441.52,441.52,8568500
2013-10-18,485.13,504.45,483.85,502.44,502.44,23283100
2013-10-21,502.46,506.21,496.55,498.41,498.41,7303700
2013-10-22,499.25,503.23,494.68,500.25,500.25,4445900
2013-10-23,497.27,514.03,497.08,512.37,512.37,5361000
2013-10-24,512.6,516.92,509.09,509.46,509.46,4211200
2013-10-25,511.09,511.09,502.1,504.32,504.32,4087300
2013-10-28,504.32,508.41,503.22,504.22,504.22,2332400
2013-10-29,506.26,515.12,503.48,514.77,514.77,3230800
2013-10-30,515.36,515.4,509.68,511.88,511.88,2665300
2013-10-31,511.14,517.39,508.68,511.96,511.96,3301200
2013-11-01,512.56,514.65,509.24,510.2,510.2,2583200
2013-11-04,512.42,512.85,507.71,509.74,509.74,2292300
2013-11-05,506.88,512.49,505.42,507.46,507.46,2378000
2013-11-06,509.49,510.18,504.4,508.07,508.07,1837600
2013-11-07,508.0,508.66,500.56,500.72,500.72,3381000
2013-11-08,501.12,505.96,500.99,504.73,504.73,2598200
2013-11-11,501.49,504.68,500.74,502.03,502.03,2239600
2013-11-12,500.59,505.49,499.25,502.62,502.62,2451900
2013-11-13,500.12,513.09,500.0,512.9,512.9,3179200
2013-11-14,513.62,516.52,511.85,514.27,514.27,2348500
2013-11-15,514.09,515.65,511.83,513.44,513.44,2569100
2013-11-18,514.53,520.98,511.29,512.44,512.44,3542200
2013-11-19,512.53,514.03,508.22,509.29,509.29,2277800
2013-11-20,511.65,513.34,506.88,507.85,507.85,1939800
2013-11-21,510.18,515.8,509.68,513.69,513.69,2197700
2013-11-22,513.37,514.74,511.28,512.61,512.61,2524600
2013-11-25,515.23,523.19,514.17,519.59,519.59,3246900
2013-11-26,520.91,527.32,518.1,525.79,525.79,4602200
2013-11-27,527.58,530.55,526.58,528.12,528.12,2261700
2013-11-29,527.65,529.86,526.3,526.37,526.37,2401000
2013-12-02,528.32,529.73,521.98,523.83,523.83,2764200
2013-12-03,522.08,528.28,521.12,523.23,523.23,3373900
2013-12-04,522.29,528.55,521.61,525.67,525.67,2398600
2013-12-05,525.18,526.41,522.15,525.25,525.25,2282000
2013-12-06,531.44,531.54,526.61,531.48,531.48,2876100
2013-12-09,532.03,537.66,530.56,535.59,535.59,2984400
2013-12-10,534.6,542.63,534.35,538.83,538.83,3731800
2013-12-11,540.19,542.13,534.11,535.16,535.16,3445800
2013-12-12,536.3,537.97,531.05,531.52,531.52,3213600
2013-12-13,534.23,534.67,525.53,526.97,526.97,4352800
2013-12-16,528.56,533.87,527.57,533.02,533.02,3224800
2013-12-17,532.94,536.89,530.74,531.47,531.47,3091300
2013-12-18,532.46,538.97,526.1,538.87,538.87,4449300
2013-12-19,536.89,542.47,536.05,539.6,539.6,3353000
2013-12-20,540.63,547.03,540.48,546.75,546.75,6565600
2013-12-23,550.34,554.29,548.99,553.95,553.95,3465500
2013-12-24,553.88,554.02,550.47,552.33,552.33,1477800
2013-12-26,553.41,555.88,550.76,555.12,555.12,2692900
2013-12-27,556.38,556.52,552.87,555.59,555.59,3159800
2013-12-30,556.55,556.63,550.93,551.15,551.15,2488100
