Date,open,high,low,close,adj close,volume
2018-01-01,152.01,170.81,151.12,169.0,167.56,68410900.0
2018-02-01,172.51,179.17,156.8,175.76,174.54,96615400.0
2018-03-01,176.35,183.73,168.55,175.16,173.94,81229900.0
2018-04-01,174.64,180.0,167.94,178.27,177.03,82703600.0
2018-05-01,178.27,194.72,176.91,190.12,189.07,80215600.0
2018-06-01,192.03,204.0,191.9,196.52,195.43,67584700.0
2018-07-01,195.74,214.28,194.75,198.0,196.91,72048500.0
2018-08-01,199.27,215.86,197.87,215.56,214.64,61678400.0
2018-09-01,215.68,224.36,209.7,222.61,221.66,60645700.0
2018-10-01,224.84,225.35,183.75,197.67,196.83,126423600.0
2018-11-01,198.89,208.86,177.4,201.07,200.44,92165100.0
2018-12-01,206.01,209.91,171.89,188.65,188.06,100286800.0
