Date,open,high,low,close,adj close,volume
2018-01-02,86.13,86.31,85.5,85.95,83.82,22483800
2018-01-03,86.06,86.51,85.97,86.35,84.21,26061400
2018-01-04,86.59,87.66,86.57,87.11,84.95,21912000
2018-01-05,87.66,88.41,87.43,88.19,86.0,23407100
2018-01-08,88.2,88.58,87.6,88.28,86.09,22113000
2018-01-09,88.65,88.73,87.86,88.22,86.03,19484300
2018-01-10,87.86,88.19,87.41,87.82,85.64,18652200
2018-01-11,88.13,88.13,87.24,88.08,85.9,17808900
2018-01-12,88.67,89.78,88.45,89.6,87.38,24271500
2018-01-16,90.1,90.79,88.01,88.35,86.16,36599700
2018-01-17,89.08,90.28,88.75,90.14,87.9,25602600
2018-01-18,89.8,90.67,89.66,90.1,87.86,24159700
2018-01-19,90.14,90.61,89.66,90.0,87.77,36875000
2018-01-22,90.0,91.62,89.74,91.61,89.34,23601600
2018-01-23,91.9,92.3,91.54,91.9,89.62,23412800
2018-01-24,92.55,93.43,91.58,91.82,89.54,33277500
2018-01-25,92.47,93.24,91.93,92.33,90.04,26383200
2018-01-26,93.12,94.06,92.58,94.06,91.73,29172200
2018-01-29,95.14,95.45,93.72,93.92,91.59,31569900
2018-01-30,93.3,93.66,92.1,92.74,90.44,38635100
2018-01-31,93.75,95.4,93.51,95.01,92.65,48756300
2018-02-01,94.79,96.07,93.58,94.26,91.92,47227900
2018-02-02,93.64,93.97,91.5,91.78,89.5,47867800
2018-02-05,90.56,93.24,88.0,88.0,85.82,51031500
2018-02-06,86.89,91.48,85.25,91.33,89.06,67998600
2018-02-07,90.49,91.77,89.2,89.61,87.39,41107600
2018-02-08,89.71,89.88,84.76,85.01,82.9,55628700
2018-02-09,86.3,88.93,83.83,88.18,85.99,63499100
2018-02-12,88.74,89.78,87.93,89.13,86.92,35720300
2018-02-13,88.93,90.0,87.8,89.83,87.6,26407700
2018-02-14,88.51,90.99,88.41,90.81,88.97,34960900
2018-02-15,91.21,92.72,90.62,92.66,90.79,27823900
2018-02-16,92.45,93.5,91.8,92.0,90.14,30596900
2018-02-20,91.48,93.06,91.01,92.72,90.84,30911700
2018-02-21,92.98,93.36,91.49,91.49,89.64,26922500
2018-02-22,92.05,92.73,91.36,91.73,89.87,24392800
2018-02-23,93.6,94.07,92.36,94.06,92.16,26329200
2018-02-26,94.4,95.45,94.25,95.42,93.49,30199800
2018-02-27,95.74,95.84,94.2,94.2,92.29,25869100
2018-02-28,94.84,95.71,93.63,93.77,91.87,31167300
2018-03-01,93.99,94.57,91.84,92.85,90.97,37135600
2018-03-02,91.58,93.15,90.86,93.05,91.17,32830400
2018-03-05,92.34,94.27,92.26,93.64,91.75,23901600
2018-03-06,94.34,94.49,92.94,93.32,91.43,22175800
2018-03-07,93.16,93.94,92.43,93.86,91.96,26716100
2018-03-08,94.27,95.1,93.77,94.43,92.52,25887800
2018-03-09,95.29,96.54,95.0,96.54,94.59,36937300
2018-03-12,96.5,97.21,96.04,96.77,94.81,26073700
2018-03-13,97.0,97.24,93.97,94.41,92.5,35387800
2018-03-14,95.12,95.41,93.5,93.85,91.95,32132000
2018-03-15,93.53,94.58,92.83,94.18,92.28,27611000
2018-03-16,94.68,95.38,93.92,94.6,92.69,49081300
2018-03-19,93.74,93.9,92.11,92.89,91.01,33344100
2018-03-20,93.05,93.77,93.0,93.13,91.25,23075200
2018-03-21,92.93,94.05,92.21,92.48,90.61,24457100
2018-03-22,91.27,91.75,89.66,89.79,87.97,38604700
2018-03-23,89.5,90.46,87.08,87.18,85.42,44068900
2018-03-26,90.61,94.0,90.4,93.78,91.88,56396800
2018-03-27,94.94,95.14,88.51,89.47,87.66,56569000
2018-03-28,89.82,91.23,88.87,89.39,87.58,52501100
2018-03-29,90.18,92.29,88.4,91.27,89.42,45867500
2018-04-02,90.47,90.88,87.51,88.52,86.73,48515400
2018-04-03,89.58,90.05,87.89,89.71,87.9,37213800
2018-04-04,87.85,92.76,87.73,92.33,90.46,35560000
2018-04-05,92.44,93.07,91.4,92.38,90.51,29771900
2018-04-06,91.49,92.46,89.48,90.23,88.41,38026000
2018-04-09,91.04,93.17,90.62,90.77,88.93,31533900
2018-04-10,92.39,93.28,91.64,92.88,91.0,26812000
2018-04-11,92.01,93.29,91.48,91.86,90.0,24872100
2018-04-12,92.43,94.16,92.43,93.58,91.69,26758900
2018-04-13,94.05,94.18,92.44,93.08,91.2,23346100
2018-04-16,94.07,94.66,93.42,94.17,92.27,20288100
2018-04-17,95.0,96.54,94.88,96.07,94.13,26771000
2018-04-18,96.22,96.72,95.52,96.44,94.49,21043300
2018-04-19,96.44,97.07,95.34,96.11,94.17,23552500
2018-04-20,95.91,96.11,94.05,95.0,93.08,31154400
2018-04-23,95.74,96.29,94.63,95.35,93.42,22331800
2018-04-24,96.24,96.47,92.41,93.12,91.24,34524800
2018-04-25,93.3,93.3,90.28,92.31,90.44,33729300
2018-04-26,93.55,95.15,93.1,94.26,92.35,42529000
2018-04-27,97.6,97.9,93.91,95.82,93.88,48272800
2018-04-30,96.33,96.4,93.15,93.52,91.63,41523600
2018-05-01,93.21,95.29,92.79,95.0,93.08,31408900
2018-05-02,94.99,95.17,93.19,93.51,91.62,27471000
2018-05-03,92.96,94.93,92.45,94.07,92.17,31142500
2018-05-04,93.32,95.37,92.92,95.16,93.24,22531300
2018-05-07,95.17,96.71,95.1,96.22,94.27,24242000
2018-05-08,95.85,96.16,95.06,95.81,93.87,23484600
2018-05-09,96.01,96.97,95.05,96.94,94.98,27327400
2018-05-10,97.46,97.95,97.05,97.91,95.93,22388100
2018-05-11,97.8,97.87,97.04,97.7,95.72,16778300
2018-05-14,97.92,98.69,97.31,98.03,96.05,19454100
2018-05-15,97.24,97.85,96.34,97.32,95.35,24594000
2018-05-16,97.36,97.4,96.62,97.15,95.6,17384700
2018-05-17,96.76,97.54,95.83,96.18,94.64,17246700
2018-05-18,96.01,96.93,96.01,96.36,94.82,17865800
2018-05-21,97.0,98.01,96.8,97.6,96.04,19422500
2018-05-22,97.68,98.17,97.2,97.5,95.94,15441200
2018-05-23,96.71,98.73,96.32,98.66,97.08,21114800
2018-05-24,98.73,98.94,96.81,98.31,96.74,26649300
2018-05-25,98.3,98.98,97.86,98.36,96.79,18363900
2018-05-29,97.84,98.88,97.23,98.01,96.44,28671000
2018-05-30,98.31,99.25,97.91,98.95,97.37,22158500
2018-05-31,99.29,99.99,98.61,98.84,97.26,34140900
2018-06-01,99.28,100.86,99.17,100.79,99.18,28655600
2018-06-04,101.26,101.86,100.85,101.67,100.05,27281600
2018-06-05,102.0,102.33,101.53,102.19,100.56,23514400
2018-06-06,102.48,102.6,101.9,102.49,100.85,21122900
2018-06-07,102.65,102.69,100.38,100.88,99.27,28232200
2018-06-08,101.09,101.95,100.54,101.63,100.01,22165100
2018-06-11,101.01,101.59,100.67,101.05,99.44,23490900
2018-06-12,101.1,101.45,100.75,101.31,99.69,18325200
2018-06-13,101.72,102.01,100.56,100.85,99.24,29492900
2018-06-14,101.65,102.03,101.0,101.42,99.8,25691800
2018-06-15,101.51,101.53,100.07,100.13,98.53,65738600
2018-06-18,100.01,101.11,99.42,100.86,99.25,23586000
2018-06-19,99.65,101.0,99.5,100.86,99.25,28653100
2018-06-20,101.37,102.52,101.12,101.87,100.24,26180800
2018-06-21,102.08,102.46,100.88,101.14,99.52,23198200
2018-06-22,100.41,100.77,99.63,100.41,98.81,38923100
2018-06-25,100.0,100.11,97.3,98.39,96.82,35433300
2018-06-26,98.82,100.08,98.75,99.08,97.5,26897200
2018-06-27,99.58,100.02,97.4,97.54,95.98,31298400
