Date,open,high,low,close,adj close,volume
2018-01-02,195.78,199.5,194.5,199.35,198.36,8890400
2018-01-03,204.1,213.7,203.75,212.47,211.42,22867600
2018-01-04,215.76,218.05,212.69,213.59,212.53,14581700
2018-01-05,214.19,216.91,211.08,215.4,214.33,14503100
2018-01-08,220.4,225.0,218.58,222.0,220.9,22030400
2018-01-09,222.22,223.82,218.64,221.94,220.84,12425000
2018-01-10,218.2,223.82,216.0,223.68,222.57,14566600
2018-01-11,225.0,226.27,223.21,224.08,222.97,10150800
2018-01-12,223.6,224.99,221.34,222.98,221.88,8997900
2018-01-16,224.05,227.51,216.69,220.11,219.02,17558700
2018-01-17,220.7,225.12,216.9,224.72,223.61,13407100
2018-01-18,223.94,226.64,222.68,224.44,223.33,10215800
2018-01-19,228.09,231.09,227.0,230.11,228.97,15234500
2018-01-22,230.43,233.76,228.1,233.69,232.53,13773600
2018-01-23,235.85,239.83,235.1,238.91,237.73,11880700
2018-01-24,239.04,240.49,233.55,235.8,234.63,14499300
2018-01-25,238.0,239.75,235.75,236.35,235.18,10247100
2018-01-26,238.12,243.34,237.6,243.33,242.13,12908900
2018-01-29,242.74,248.11,240.61,246.85,245.63,11377900
2018-01-30,241.11,246.42,238.41,242.72,241.52,14270800
2018-01-31,245.77,249.27,244.45,245.8,244.58,11964400
2018-02-01,238.52,246.9,238.06,240.5,239.31,12980600
2018-02-02,237.0,237.97,231.17,233.52,232.37,17961600
2018-02-05,227.0,233.23,205.0,213.7,212.64,29130100
2018-02-06,204.4,225.7,204.0,225.58,224.46,27870000
2018-02-07,229.58,234.97,226.7,228.8,227.67,20073300
2018-02-08,233.88,235.22,217.51,217.52,216.44,28600000
2018-02-09,238.25,238.89,217.52,232.08,230.93,41865100
2018-02-12,235.36,235.48,225.03,228.03,226.9,27329300
2018-02-13,226.56,234.5,225.25,232.63,231.48,15638100
2018-02-14,231.0,242.59,230.55,241.42,240.23,18624700
2018-02-15,244.79,248.37,241.52,246.5,245.28,17472500
2018-02-16,245.4,250.0,243.47,243.84,242.63,15941400
2018-02-20,244.75,251.87,244.6,249.08,247.85,17156000
2018-02-21,251.69,251.97,241.36,241.51,240.32,22307300
2018-02-22,242.73,245.63,239.5,242.15,241.1,13359100
2018-02-23,244.57,245.93,242.52,245.93,244.87,10382500
2018-02-26,247.8,247.98,244.06,246.58,245.51,11732800
2018-02-27,245.5,248.91,245.13,246.06,245.0,11385900
2018-02-28,246.5,248.1,241.53,242.0,240.95,13077900
2018-03-01,241.91,244.09,228.12,232.21,231.21,26003000
2018-03-02,227.86,236.8,221.85,236.54,235.52,22835700
2018-03-05,234.51,237.25,229.52,235.65,234.63,15519400
2018-03-06,239.1,242.94,237.36,242.16,241.11,15920200
2018-03-07,238.0,243.95,237.95,241.84,240.79,14530200
2018-03-08,242.95,242.95,239.39,241.18,240.14,10297800
2018-03-09,243.1,245.85,242.45,245.33,244.27,12638100
2018-03-12,247.0,253.0,246.67,249.76,248.68,15126500
2018-03-13,251.49,254.5,246.04,247.71,246.64,15494300
2018-03-14,249.45,250.55,246.22,248.74,247.66,12637400
2018-03-15,249.29,252.62,247.64,249.34,248.26,10048800
2018-03-16,250.0,251.25,248.48,250.48,249.4,9986400
2018-03-19,248.18,249.35,237.0,241.0,239.96,17844300
2018-03-20,241.12,251.15,241.12,249.58,248.5,13867400
2018-03-21,249.32,252.0,247.33,248.56,247.48,10967200
2018-03-22,246.0,247.88,240.34,241.85,240.8,13779900
2018-03-23,242.4,242.5,232.52,232.97,231.96,18390500
2018-03-26,238.0,244.53,235.9,244.48,243.42,15285600
2018-03-27,247.75,250.0,219.85,225.52,224.54,35225000
2018-03-28,224.13,229.39,217.0,221.35,220.39,23647600
2018-03-29,224.11,235.5,220.7,231.59,230.59,22915700
2018-04-02,228.74,234.65,217.5,221.05,220.09,23052300
2018-04-03,227.8,230.35,221.35,225.35,224.38,16685800
2018-04-04,215.01,226.66,214.0,226.24,225.26,19729200
2018-04-05,228.6,229.13,218.49,221.38,220.42,17531000
2018-04-06,217.23,221.6,213.07,214.25,213.32,16574700
2018-04-09,216.8,221.97,214.6,215.41,214.48,12488100
2018-04-10,224.72,229.0,222.41,227.91,226.92,19041900
2018-04-11,227.31,228.98,224.92,226.24,225.26,11506100
2018-04-12,230.0,235.32,228.21,234.6,233.58,14848000
2018-04-13,237.17,237.51,229.55,231.5,230.5,12575900
2018-04-16,231.77,232.84,227.68,231.49,230.49,8769800
2018-04-17,233.6,238.4,231.35,237.54,236.51,11180600
2018-04-18,235.5,239.25,232.77,236.37,235.35,9784100
2018-04-19,231.75,233.1,226.8,229.04,228.05,11799900
2018-04-20,228.69,232.1,227.45,228.71,227.72,9655000
2018-04-23,229.43,231.5,222.83,223.88,222.91,10687700
2018-04-24,224.92,228.8,218.56,221.2,220.24,10364900
2018-04-25,220.0,221.58,210.3,216.66,215.72,14712300
2018-04-26,223.2,225.55,220.53,225.22,224.25,9395600
2018-04-27,229.5,230.3,224.62,226.33,225.35,10021200
2018-04-30,226.99,229.0,224.12,224.9,223.93,8196100
2018-05-01,224.57,227.25,222.2,227.14,226.16,6344700
2018-05-02,227.0,228.8,225.25,226.31,225.33,6706200
2018-05-03,227.6,234.05,225.77,232.99,231.98,11078600
2018-05-04,231.83,239.19,231.13,239.06,238.03,10016500
2018-05-07,243.29,250.99,242.89,248.68,247.6,17190400
2018-05-08,248.69,250.51,246.71,250.4,249.32,12665400
2018-05-09,251.21,255.87,250.11,255.78,254.67,14919000
2018-05-10,257.92,260.5,257.2,260.13,259.0,24852000
2018-05-11,252.78,259.79,250.54,254.53,253.43,30361400
2018-05-14,256.07,258.49,254.4,255.36,254.26,13078500
2018-05-15,252.79,252.9,241.5,245.56,244.5,24088200
2018-05-16,244.0,248.52,242.51,246.01,244.95,13845700
2018-05-17,246.08,251.5,245.43,247.71,246.64,12994600
2018-05-18,249.81,252.37,245.74,245.94,244.88,12092900
2018-05-21,249.88,250.03,240.49,244.24,243.18,16015600
2018-05-22,244.78,245.8,240.25,242.7,241.65,12956600
2018-05-23,240.28,247.59,240.25,247.54,246.62,11033700
2018-05-24,247.39,249.4,245.24,247.69,246.77,10934300
2018-05-25,248.2,249.94,246.76,249.28,248.35,7302800
2018-05-29,248.55,251.34,246.7,248.59,247.67,8817100
2018-05-30,249.95,253.34,248.95,252.99,252.05,9774900
2018-05-31,251.7,255.2,251.27,252.19,251.25,12346700
2018-06-01,254.0,257.87,253.65,257.62,256.66,10549200
2018-06-04,259.0,265.74,257.7,264.85,263.87,16050600
2018-06-05,264.98,266.59,263.17,265.07,264.09,9792800
2018-06-06,261.43,265.28,260.77,265.15,264.17,9283900
2018-06-07,265.0,265.48,259.25,262.9,261.92,9236200
2018-06-08,259.96,264.0,259.2,262.28,261.31,9011400
2018-06-11,261.77,263.45,260.1,260.62,259.65,6634300
2018-06-12,261.69,263.07,259.66,262.58,261.61,7979000
2018-06-13,262.64,265.67,262.03,262.4,261.43,8455200
2018-06-14,264.22,269.2,263.62,266.91,265.92,10750400
2018-06-15,264.6,267.48,263.35,265.26,264.28,10806500
2018-06-18,263.48,265.8,262.38,265.09,264.11,8906700
2018-06-19,260.92,263.64,255.02,260.17,259.2,14873300
2018-06-20,261.83,264.45,260.28,262.31,261.34,9244500
2018-06-21,263.6,264.34,256.8,257.11,256.16,8987900
2018-06-22,257.95,258.49,250.33,250.95,250.02,10854000
2018-06-25,246.65,246.8,235.54,239.12,238.23,16645400
2018-06-26,243.7,245.65,239.91,241.99,241.09,11972100
2018-06-27,243.75,246.43,235.5,235.72,234.85,11347300
2018-06-28,235.32,241.34,235.01,240.86,239.97,8450300
2018-06-29,243.49,244.0,236.85,236.9,236.02,9807500
2018-07-02,234.09,242.39,233.26,242.24,241.34,8939300
2018-07-03,243.64,243.88,236.5,236.84,235.96,5568300
2018-07-05,239.07,242.93,237.5,242.73,241.83,7655400
2018-07-06,241.74,247.67,240.88,247.33,246.41,7408800
2018-07-09,250.33,250.72,246.07,249.25,248.33,7597000
2018-07-10,249.75,254.14,248.12,253.25,252.31,9000400
2018-07-11,249.5,250.9,247.1,247.53,246.61,9187700
2018-07-12,249.36,253.17,248.96,251.23,250.3,8637700
