Date,open,high,low,close,adj close,volume
2013-01-02,40.61,40.9,40.46,40.85,34.43,2625800
2013-01-03,40.85,40.9,40.58,40.76,34.36,3578400
2013-01-04,40.89,41.44,40.83,41.17,34.7,2721400
2013-01-07,40.98,41.09,40.3,40.47,34.11,2692700
2013-01-08,40.4,40.67,40.29,40.67,34.28,2986700
2013-01-09,41.33,41.33,40.49,40.77,34.37,2407800
2013-01-10,40.9,41.03,40.78,40.87,34.45,2455500
2013-01-11,40.93,41.02,40.67,40.95,34.52,2077400
2013-01-14,41.01,41.31,40.84,40.89,34.47,3293800
2013-01-15,40.86,41.0,40.69,41.0,34.56,2369700
2013-01-16,40.86,41.0,40.57,40.68,34.29,1594500
2013-01-17,40.72,41.04,40.58,40.82,34.41,2127700
2013-01-18,40.92,41.01,40.63,41.01,34.57,1751500
2013-01-22,40.98,41.36,40.97,41.25,34.77,2931800
2013-01-23,41.14,41.37,40.92,41.37,34.87,2618600
2013-01-24,41.47,41.7,41.36,41.51,34.99,2442600
2013-01-25,41.69,41.89,41.44,41.89,35.31,3137600
2013-01-28,41.9,41.97,41.71,41.76,35.2,2221600
2013-01-29,41.69,42.12,41.65,42.12,35.5,2328700
2013-01-30,42.15,42.63,42.09,42.39,35.73,2581800
2013-01-31,42.52,42.71,42.36,42.64,35.94,3048000
2013-02-01,42.71,42.79,42.51,42.6,35.91,1920600
2013-02-04,42.54,42.57,42.09,42.11,35.5,1976100
2013-02-05,42.27,42.58,42.2,42.35,35.7,1730800
2013-02-06,42.2,42.53,42.1,42.53,35.85,1421400
2013-02-07,42.64,42.97,42.49,42.76,36.04,1957600
2013-02-08,42.74,42.82,42.54,42.77,36.05,1321900
2013-02-11,42.73,42.94,42.63,42.69,35.98,965400
2013-02-12,42.67,42.74,42.49,42.72,36.01,1186100
2013-02-13,42.69,42.81,42.48,42.61,35.92,1341100
2013-02-14,42.47,42.63,42.4,42.43,35.77,3119600
2013-02-15,42.51,42.8,42.47,42.72,36.01,3843000
2013-02-19,42.79,43.23,42.71,43.22,36.43,4026600
2013-02-20,43.16,43.29,42.94,43.12,36.35,2680000
2013-02-21,42.25,42.7,41.0,41.41,34.91,8337500
2013-02-22,41.47,41.99,41.33,41.98,35.39,3985700
2013-02-25,42.14,42.48,41.51,41.51,34.99,3924300
2013-02-26,41.59,41.88,41.4,41.71,35.16,4042700
2013-02-27,41.64,42.2,41.64,42.12,35.5,4178100
2013-02-28,42.17,42.81,42.06,42.64,35.94,4674700
2013-03-01,42.57,42.88,42.38,42.85,36.12,2356800
2013-03-04,42.83,43.64,42.77,43.47,36.64,2908500
2013-03-05,43.55,43.72,43.31,43.34,36.53,2920000
2013-03-06,43.29,43.47,42.88,43.05,36.29,2378800
2013-03-07,43.14,43.39,42.78,42.87,36.14,1965900
2013-03-08,42.91,42.99,42.48,42.78,36.06,2463300
2013-03-11,42.64,43.05,42.51,42.96,36.21,3929700
2013-03-12,42.96,43.06,42.72,43.04,36.28,2279400
2013-03-13,43.05,43.33,42.84,43.3,36.5,1782500
2013-03-14,43.31,43.59,43.21,43.56,36.72,2285400
2013-03-15,43.39,43.83,43.22,43.56,36.72,4739200
2013-03-18,43.38,43.65,43.3,43.36,36.55,1793700
2013-03-19,43.51,43.73,43.23,43.59,36.74,2645200
2013-03-20,43.74,44.02,43.64,43.88,36.99,1750200
2013-03-21,43.75,43.87,43.6,43.67,36.81,1470600
2013-03-22,43.67,43.95,43.58,43.8,36.92,7463300
2013-03-25,43.85,43.99,43.29,43.59,36.74,9698600
2013-03-26,43.15,43.81,43.1,43.73,37.25,2641800
2013-03-27,43.88,44.19,43.7,44.08,37.55,3007100
2013-03-28,44.04,44.57,43.96,44.53,37.93,2786100
2013-04-01,44.51,44.81,44.38,44.73,38.1,2464800
2013-04-02,44.81,44.99,44.76,44.97,38.31,3301400
2013-04-03,45.11,45.56,45.03,45.52,38.77,4587400
2013-04-04,45.58,46.16,45.46,46.14,39.3,3258500
2013-04-05,45.91,46.65,45.82,46.49,39.6,3651800
2013-04-08,46.46,46.84,46.36,46.68,39.76,3823200
2013-04-09,46.77,47.06,46.48,46.63,39.72,2948000
2013-04-10,46.81,47.21,46.66,47.1,40.12,2175500
2013-04-11,47.24,47.24,46.85,47.01,40.04,1503800
2013-04-12,46.85,47.32,46.85,47.23,40.23,1727300
2013-04-15,47.15,47.42,46.77,46.77,39.84,2424500
2013-04-16,46.93,47.2,46.26,46.98,40.02,2376700
2013-04-17,46.88,47.08,46.62,47.01,40.04,2497500
