Date,open,high,low,close,adj close,volume
2018-01-02,221.02,222.45,220.0,221.16,217.39,3485000
2018-01-03,221.62,223.81,220.52,223.48,219.67,2417600
2018-01-04,224.34,226.1,224.17,224.45,220.62,2749100
2018-01-05,225.19,229.05,224.72,228.73,224.83,2432800
2018-01-08,228.13,228.71,224.61,224.76,220.93,2850800
2018-01-09,224.76,226.63,223.3,225.88,222.03,2672200
2018-01-10,224.83,225.01,223.03,224.2,220.38,2311600
2018-01-11,224.18,225.92,223.7,225.39,221.55,2543600
2018-01-12,227.45,229.9,226.52,228.64,224.74,3943800
2018-01-16,233.37,235.0,231.25,232.9,228.93,6852600
2018-01-17,234.67,238.96,233.85,238.43,234.36,5090700
2018-01-18,239.26,243.9,238.55,243.16,239.01,6234200
2018-01-19,244.18,244.35,241.07,243.35,239.2,4293600
2018-01-22,243.59,243.8,241.36,243.56,239.41,4012200
2018-01-23,242.99,246.98,242.41,245.21,241.03,3300000
2018-01-24,246.01,247.31,243.71,244.85,240.67,2733300
2018-01-25,244.75,246.19,243.9,245.18,241.0,2420500
2018-01-26,245.0,248.74,244.46,248.47,244.23,2615300
2018-01-29,249.28,250.79,247.4,247.41,243.19,2564700
2018-01-30,232.88,242.74,232.1,236.65,232.61,11565500
2018-01-31,242.84,247.0,235.76,236.78,232.74,5187400
2018-02-01,235.26,237.82,233.83,235.22,231.21,4268300
2018-02-02,233.0,236.3,231.19,231.88,227.92,3959900
2018-02-05,230.79,233.11,208.48,220.02,216.27,6290000
2018-02-06,212.2,226.51,210.21,225.18,221.34,7064800
2018-02-07,222.33,229.29,221.51,225.82,221.97,5589200
2018-02-08,225.33,226.63,216.26,216.46,212.77,4902400
2018-02-09,218.0,223.28,212.01,220.96,217.19,6225300
2018-02-12,222.44,228.0,222.15,225.69,221.84,4912000
2018-02-13,223.15,227.12,222.39,226.64,222.77,3536800
2018-02-14,224.95,229.34,223.92,228.78,224.88,2878400
2018-02-15,229.27,230.0,221.74,226.02,222.16,4662700
2018-02-16,225.99,230.55,225.7,229.37,225.46,3621700
2018-02-20,227.91,228.75,225.61,226.66,222.79,3172300
2018-02-21,226.15,229.35,225.11,225.13,221.29,3371900
2018-02-22,226.3,229.84,225.08,227.09,223.22,2767900
2018-02-23,227.9,230.32,225.91,230.16,226.23,2393900
2018-02-26,231.64,234.51,229.7,234.06,230.07,3307000
2018-02-27,234.4,235.89,232.44,232.52,228.55,2899500
2018-02-28,234.42,234.75,226.09,226.16,222.3,4368600
2018-03-01,225.7,229.29,222.74,224.45,220.62,3514600
2018-03-02,223.21,225.82,222.59,225.19,221.35,2613600
2018-03-05,223.37,229.43,222.79,228.38,224.48,2627300
2018-03-06,228.92,229.15,223.89,226.18,222.32,2652800
2018-03-07,224.35,227.82,223.75,227.27,223.39,3242200
2018-03-08,227.93,227.99,223.92,224.73,221.63,3500900
2018-03-09,226.11,226.52,222.5,225.43,222.32,4834600
2018-03-12,226.21,227.0,222.77,222.77,219.7,3117300
2018-03-13,223.53,228.06,223.16,226.94,223.81,3343800
2018-03-14,227.13,229.39,225.02,225.38,222.27,3048200
2018-03-15,225.83,230.76,225.66,229.48,226.31,3330200
2018-03-16,229.66,231.27,227.75,227.86,224.71,5690300
2018-03-19,227.31,227.97,223.68,225.05,221.94,3407300
2018-03-20,225.16,227.6,223.88,226.78,223.65,3429100
2018-03-21,226.45,227.44,222.82,222.82,219.74,3419800
2018-03-22,221.65,221.66,215.1,215.21,212.24,5894800
2018-03-23,215.75,217.73,212.5,212.55,209.62,5741200
2018-03-26,215.19,219.41,214.7,219.07,216.05,3561300
2018-03-27,220.32,221.95,216.41,217.96,214.95,3722100
2018-03-28,218.89,219.91,217.04,218.5,215.48,3179500
2018-03-29,219.38,223.35,214.0,214.0,211.05,5529400
2018-04-02,218.46,222.99,214.63,217.2,214.2,6220700
2018-04-03,220.34,225.1,219.69,224.58,221.48,4652000
2018-04-04,220.69,229.48,220.42,228.79,225.63,4674000
2018-04-05,229.46,231.58,226.8,229.07,225.91,3348100
2018-04-06,226.65,228.19,221.82,223.96,220.87,3231700
2018-04-09,225.58,226.13,222.36,222.73,219.66,3031500
2018-04-10,225.4,228.16,223.49,226.79,223.66,2737500
2018-04-11,224.27,225.39,221.69,221.9,218.84,3482100
2018-04-12,224.04,225.75,223.41,224.24,221.14,2664500
2018-04-13,225.1,226.13,223.08,224.28,221.18,2496600
2018-04-16,227.11,231.85,226.35,230.32,227.14,4510600
2018-04-17,239.31,241.67,236.08,238.55,235.26,6180300
2018-04-18,239.0,239.74,236.3,236.4,233.14,2940100
2018-04-19,236.2,238.27,234.8,235.76,232.51,2734900
2018-04-20,236.05,237.1,233.5,235.06,231.82,2842000
2018-04-23,235.29,236.21,233.08,234.34,231.11,3051700
2018-04-24,235.95,237.32,232.56,234.22,230.99,2771200
2018-04-25,233.45,235.1,230.44,234.9,231.66,3118800
